Pcode,Gender,Place,Grade,Familyarrangement,Average,educationFather,educationMather,PAQ1,PAQ2,PAQ3,PAQ4,PAQ5,PAQ6,PAQ7,PAQ8,PAQ9,PAQ10,PAQ11,PAQ12,FSQ1,FSQ2,FSQ3,FSQ4,ADQ1,ADQ2,ADQ3,ADQ4,PSQ1,PSQ2,PSQ3,PSQ4,PSQ5,PSQ6,PSQ7,PSQ8,PSQ9,PSQ10,PSQ11,PSQ12,PSQ13,PSQ14,PSQ15,PSQ16,PSQ17,PSQ18,PSQ19,PSQ20,PSQ21,PSQ22,PSQ23,PSQ24,PSQ25,PSQ26,PSQ27,PSQ28,PSQ29,PSQ30,PSQ31,RQ1,RQ2,RQ3,RQ4,RQ5,RQ6,RQ7,RQ8,RQ9,RQ10,RQ11,RQ12,TEQ1,TEQ2,TEQ3,TEQ4,TEQ5,TEQ6,TEQ7,TEQ8,TEQ9,TEQ10,TEQ11,TEQ12,TEQ13,TEQ14,TEQ15,TEQ16,TEQ17,TEQ18,TEQ19,TEQ20,TEQ21,TEQ22,TEQ23,BQ1,BQ2,BQ3,BQ4,BQ5,BQ6,BQ7,BQ8,BQ9,BQ10,BQ11,BQ12,BQ13,BQ14,BQ15,BQ16,BQ17,BQ18,BQ19,BQ20,BQ21,BQ23,BQ24,BQ25,BQ26,BQ27,BQ28,BQ29,BQ30,BQ31,BQ32,BQ33,BQ34,BQ35,BQ36,BQ37,BQ38,BQ39,ASQ1,ASQ2,ASQ3,ASQ4,ASQ5,ASQ6,ASQ7,ASQ8,ASQ9,ASQ10,AOQ1,AOQ2,AOQ3,AOQ4,AOQ5,AOQ6,AOQ7,AOQ8,AOQ9,AOQ10,AOQ11,APQ1,APQ2,APQ3,APQ4,APQ5,APQ6,APQ7,APQ8,APQ9,APQ10,APQ11
413,Female,city,12th grade,the middle,61-74,academic,academic,4,5,3,1,3,1,2,3,4,1,3,3,5,4,5,5,3,1,5,1,5,3,4,5,1,1,2,5,5,3,2,4,1,1,1,1,1,5,1,4,4,3,1,5,4,1,3,1,3,1,4,5,4,3,5,3,5,5,5,1,2,3,2,4,5,5,5,5,5,5,1,5,1,1,5,5,5,5,1,1,1,1,4,1,1,3,1,1,1,1,2,3,2,1,3,2,4,2,5,3,5,1,3,2,4,3,2,5,1,1,1,3,4,3,3,2,4,1,3,1,1,1,1,1,2,3,1,2,3,4,5,2,4,4,1,2,1,1,1,2,3,2,2,3,5,5,5,1,2,1,2,2,3,5,5,5
414,Female,Camp,12th grade,the middle,61-74,Primary,Secondary grade,5,4,5,3,3,1,2,3,2,1,3,3,5,5,4,4,3,1,3,1,3,2,3,5,1,1,4,5,2,3,1,5,2,5,5,3,5,5,4,5,5,5,5,5,1,3,5,1,5,1,1,5,4,5,1,5,4,2,4,1,1,3,2,5,5,5,5,5,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,2,1,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
415,Female,Camp,12th grade,the first,more than 85,academic,Secondary grade,3,4,5,4,2,1,3,3,4,2,4,4,5,4,4,5,2,1,3,1,3,5,5,5,3,1,5,4,4,3,3,5,1,3,3,4,5,4,3,2,5,4,5,4,3,3,5,3,2,2,5,5,4,1,3,1,5,3,4,3,2,3,5,3,4,4,5,5,3,1,2,1,1,1,3,4,1,1,1,1,1,1,1,1,1,5,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3,1,1,1,1,1,1,1,1,3,1,3,1,3,3,5,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,5
416,Female,city,12th grade,the middle,61-74,Secondary grade,Primary,5,5,4,5,4,1,4,5,4,1,4,4,5,4,5,5,1,1,1,1,1,5,1,2,5,1,5,3,4,1,3,5,1,3,4,4,3,2,4,2,4,3,2,4,1,2,4,2,3,1,5,1,2,4,3,4,4,3,2,4,3,4,3,1,2,3,2,3,3,2,4,3,2,3,2,3,2,3,4,4,4,3,3,2,2,3,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
417,Female,city,12th grade,the last,75-84,academic,academic,3,4,3,4,2,1,2,5,1,1,2,2,5,5,5,1,3,1,4,1,5,5,3,5,3,4,4,4,4,1,2,4,3,5,5,1,4,3,2,1,3,2,4,3,4,3,2,3,3,1,5,5,1,1,3,3,5,5,5,1,1,3,4,5,5,4,5,1,3,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,3,3,3,2,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,2,3,3,3,2,3,2,4,2,3,3,2,3,3,3,3
418,Female,city,12th grade,the middle,more than 85,Secondary grade,academic,5,5,3,5,3,1,4,4,4,1,3,3,5,3,4,3,3,2,3,2,3,5,4,5,3,1,4,2,4,1,3,3,4,4,4,4,4,4,5,5,4,5,5,3,3,4,5,3,3,3,5,5,5,3,3,2,4,4,5,2,4,4,4,5,5,4,3,5,4,4,1,1,1,1,3,3,1,2,2,1,1,1,1,1,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
419,Female,Village,12th grade,the last,more than 85,academic,academic,4,5,5,5,4,1,5,4,5,1,5,5,5,5,5,4,2,1,2,1,3,3,3,2,3,2,5,3,3,1,4,3,1,3,4,3,2,5,2,2,2,4,2,5,2,2,3,1,4,2,4,5,4,2,1,1,5,5,4,1,3,5,5,5,5,1,1,5,5,1,1,5,1,1,5,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
420,Female,Camp,12th grade,the middle,more than 85,Secondary grade,Secondary grade,5,4,5,5,5,1,3,4,5,1,4,5,5,3,4,4,5,2,3,1,5,4,5,1,5,2,5,4,5,1,3,4,3,2,4,5,5,5,5,5,5,5,5,5,3,3,5,2,2,3,4,5,4,1,2,2,5,5,5,1,4,4,4,5,5,5,5,5,3,3,1,1,1,1,4,5,1,1,4,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,1,3,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
421,Female,city,12th grade,the first,more than 85,academic,academic,5,4,5,5,4,1,4,5,5,1,5,5,4,3,3,4,3,1,3,2,2,5,3,3,3,3,5,5,5,1,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,5,4,3,5,2,5,5,4,1,3,5,4,5,5,5,5,5,5,3,3,1,1,3,1,4,1,1,1,1,1,1,1,1,3,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
422,Female,city,12th grade,the first,61-74,Secondary grade,Primary,2,5,4,4,3,5,5,5,4,1,5,5,5,5,4,4,5,3,5,5,3,4,3,2,1,1,3,2,1,3,1,3,5,2,3,5,5,4,5,5,5,5,2,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,1,1,1,1,5,5,5,5,4,1,2,5,3,2,3,5,2,4,2,4,2,4,5,4,3,1,5,3,1,1,1,1,1,1,1,3,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
423,Female,Camp,12th grade,the middle,less than 60,academic,academic,5,5,5,4,5,5,5,5,5,1,5,5,5,5,5,5,3,1,1,3,3,3,1,1,4,1,5,1,5,1,3,5,1,5,5,5,4,4,1,3,2,5,5,5,5,5,5,3,3,4,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,1,1,1,1,1,1,1,1,5,5,1,1,1,1,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
424,Female,Village,12th grade,the first,more than 85,Secondary grade,Secondary grade,4,3,3,3,4,5,4,4,3,2,5,5,5,4,4,4,3,1,2,1,4,4,1,2,5,5,1,3,3,4,4,2,3,3,3,1,4,3,1,2,2,3,4,4,3,3,3,4,4,5,5,2,2,5,3,5,5,5,1,1,3,3,3,3,4,4,4,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
425,Female,city,12th grade,the middle,61-74,Primary,Primary,5,5,4,3,2,1,3,4,3,1,3,4,5,4,4,3,3,2,3,2,3,3,3,1,2,2,3,3,3,5,3,3,2,2,2,2,4,3,3,2,3,2,3,3,4,5,4,5,3,4,5,3,3,3,4,4,5,5,5,1,1,3,4,4,5,5,5,5,5,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
426,Female,city,12th grade,the middle,less than 60,academic,academic,3,4,3,5,3,1,1,4,3,3,2,2,4,4,3,4,2,3,3,2,3,5,4,5,2,1,3,3,4,3,1,5,1,3,2,2,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,1,3,1,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1
427,Female,Camp,12th grade,the last,61-74,academic,Secondary grade,2,3,4,3,4,1,4,3,4,1,3,3,5,3,4,4,2,2,3,1,4,4,2,1,4,3,5,5,5,2,5,2,3,5,5,3,5,3,5,2,4,5,3,4,5,4,5,5,4,2,5,3,5,2,2,1,5,5,5,1,5,4,3,4,4,5,4,2,3,4,2,4,2,1,4,5,3,2,4,4,2,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
428,Female,city,12th grade,the middle,more than 85,Secondary grade,Secondary grade,4,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,5,2,4,5,5,5,4,4,4,1,1,1,1,1,2,2,2,3,3,1,2,4,5,5,5,4,4,4,4,4,4,5,5,2,2,2,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
429,Female,city,12th grade,the middle,more than 85,academic,academic,4,5,5,4,4,1,3,3,3,1,4,4,4,3,3,4,2,3,2,2,4,5,2,3,2,4,5,5,5,1,2,2,1,3,5,4,5,2,5,3,5,4,4,3,4,2,2,5,3,2,3,3,5,3,5,4,5,5,5,1,5,4,2,3,4,3,2,2,2,1,1,2,5,5,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,4,2,3,1,1,5
430,Female,Camp,12th grade,the first,75-84,Secondary grade,academic,4,5,5,5,4,1,4,5,4,1,5,5,4,2,3,4,3,3,5,5,3,5,5,3,4,1,5,4,5,3,5,5,4,5,5,3,4,2,5,5,5,4,5,3,1,2,3,4,3,5,5,5,4,2,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,3,1,2,1,1,1,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431,Male,city,10th grade,the first,more than 85,Secondary grade,academic,3,4,3,3,2,1,1,1,3,4,3,4,4,2,3,2,3,4,1,2,3,1,4,3,1,4,3,4,1,2,4,2,3,5,5,4,3,2,4,2,3,3,4,4,2,2,3,1,4,3,5,4,2,1,4,2,5,4,2,3,3,5,5,4,4,3,2,3,3,1,2,1,1,1,2,3,1,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,4,5,3,4,2,3,4,1,2,4,1,1,3,1,1,3,2,4,2,1,4,2,3,5,2,4,2,3,2,2,3,1,1,3,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,3,5,4,2,5,3,1,4,2,4,1
432,Male,Camp,10th grade,the last,more than 85,Secondary grade,academic,3,2,5,5,2,1,3,1,3,1,5,5,5,4,3,3,4,2,1,3,3,4,3,5,1,1,3,3,3,2,1,3,1,2,3,2,4,5,3,4,3,4,4,5,4,2,3,2,4,3,4,4,3,2,4,4,5,3,5,1,1,3,4,5,4,3,4,5,4,4,3,1,2,1,4,5,1,1,1,1,1,1,1,1,3,5,1,1,2,1,3,1,1,2,1,1,1,3,1,1,2,3,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,3,1,2
433,Male,Village,10th grade,the first,more than 85,academic,academic,2,4,3,3,2,4,2,4,1,3,2,2,4,1,3,3,5,3,4,5,4,5,2,2,3,2,5,4,5,3,4,3,3,2,5,3,4,4,3,2,3,3,4,1,4,1,4,4,3,2,4,2,5,3,2,1,3,3,4,5,3,3,1,5,5,5,4,3,3,5,3,5,3,5,4,4,3,4,5,1,3,4,2,5,3,2,1,3,1,2,4,1,2,3,4,5,3,3,4,1,5,3,2,4,2,5,5,3,5,3,1,3,1,4,1,3,2,4,2,3,1,2,1,2,2,2,4,1,3,5,3,1,3,4,1,2,1,3,4,2,5,2,4,1,5,3,1,3,3,5,3,1,3,4,3,1
434,Male,city,10th grade,the middle,more than 85,academic,academic,3,3,3,1,2,1,1,1,1,2,4,5,5,4,4,3,2,2,2,1,4,2,1,1,1,2,2,5,5,5,3,3,3,1,1,3,4,4,4,3,4,5,3,5,5,4,4,4,5,2,2,4,1,2,1,3,4,5,4,1,4,2,4,3,3,5,2,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,2,2,1,5,2,2,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,2,2,1,1,1,1,1,2,1,4,1,1,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
435,Male,Camp,11th grade,the middle,more than 85,academic,Secondary grade,5,5,5,4,5,1,5,5,3,1,5,5,5,5,5,5,3,4,5,5,1,5,5,1,3,4,5,1,1,1,1,1,1,5,2,1,2,1,1,5,3,5,5,5,5,5,5,5,5,5,5,3,5,1,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,1,1,1,1,1,1,5,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
436,Male,city,11th grade,the first,more than 85,academic,Primary,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,3,5,4,5,4,4,4,3,4,3,3,4,4,3,3,3,3,4,4,5,3,3,3,4,3,4,4,4,4,4,5,5,5,5,5,5,4,4,2,4,4,4,5,4,3,3,3,4,4,4,4,3,3,4,2,3,3,2,3,4,4,2,2,2,2,1,1,1,1,2,3,1,1,2,1,3,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,3,3,3,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
437,Male,city,11th grade,the middle,more than 85,Secondary grade,Secondary grade,4,4,4,4,4,2,2,2,2,3,2,2,5,4,4,4,1,2,2,2,2,4,4,4,3,3,3,3,4,2,3,3,3,3,4,4,4,4,4,4,3,4,4,4,3,3,3,2,3,3,3,4,4,3,3,4,3,4,4,1,3,3,3,3,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2
438,Male,Camp,11th grade,the middle,75-84,academic,academic,4,5,3,5,5,1,3,3,3,3,3,3,5,5,5,5,2,2,1,1,2,1,2,5,2,1,3,3,4,3,2,2,2,3,1,4,4,3,3,3,4,4,3,2,1,3,5,3,2,3,4,4,4,1,3,2,4,1,5,1,4,3,5,5,5,5,5,5,5,4,3,2,1,1,1,5,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
439,Male,Village,11th grade,the middle,75-84,Secondary grade,academic,3,4,3,4,5,1,3,3,3,2,2,2,4,4,4,4,3,3,2,1,3,1,3,2,2,4,4,3,5,4,5,3,2,4,2,3,4,3,4,4,4,2,5,5,4,3,3,3,4,4,5,4,3,2,4,3,5,2,5,2,1,3,4,5,4,4,2,3,4,3,2,1,1,1,2,3,1,2,3,1,1,1,1,1,5,1,1,2,1,1,4,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
440,Male,Camp,11th grade,the middle,61-74,Secondary grade,academic,3,1,4,4,2,2,2,4,4,1,1,1,5,3,4,5,1,1,1,1,3,4,1,1,4,1,5,1,4,1,1,2,1,3,1,3,4,3,2,1,4,4,4,3,1,5,5,2,4,2,3,4,3,1,2,1,4,4,2,1,4,4,2,2,3,2,3,3,2,1,1,3,1,1,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
441,Male,city,12th grade,the last,61-74,academic,Primary,3,4,4,2,2,1,3,3,5,3,2,2,4,4,4,4,5,3,4,2,1,3,5,3,1,1,3,5,3,5,5,5,1,5,1,1,5,2,5,1,5,5,5,2,5,5,3,5,5,5,5,5,5,3,5,3,1,1,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,1,1,1,2,1,3,1,5,5,5,5,5,5,5,1,1,5,5,1,1,1,1,1,1,5,5,5,5,5,1,1,5,3,2,2,1,5,5
442,Male,Camp,12th grade,the first,75-84,Primary,academic,4,5,4,3,4,2,4,3,4,2,4,4,5,5,4,5,3,1,5,2,3,4,4,3,3,3,4,5,4,2,1,4,2,4,4,4,5,5,4,4,5,5,4,1,4,4,4,4,5,4,4,4,5,2,4,2,4,5,4,1,4,4,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,3,3,2,4,5,1,1,2,1,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
443,Male,Village,12th grade,the middle,75-84,academic,academic,2,4,2,4,4,2,3,3,2,2,2,2,4,5,4,2,4,2,3,3,3,3,3,5,3,1,3,2,5,1,3,3,3,3,4,3,5,1,3,1,1,5,5,5,1,1,3,1,3,3,3,3,3,3,1,3,3,1,5,3,1,5,3,5,5,5,5,5,5,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
444,Male,Camp,12th grade,the middle,more than 85,academic,academic,2,2,1,3,1,3,1,3,3,3,2,1,5,3,1,1,2,2,5,2,5,1,1,1,2,3,4,3,3,2,2,4,2,3,4,1,2,3,4,5,4,3,2,1,3,4,5,4,3,1,3,1,2,3,1,3,3,5,3,2,4,1,3,2,2,3,4,5,1,2,3,4,5,1,1,2,3,3,2,1,2,2,3,4,2,4,2,3,4,1,1,1,2,1,3,4,3,2,3,4,3,2,3,4,2,1,2,3,2,3,1,4,2,1,3,1,3,1,3,4,1,2,3,2,1,4,2,1,3,1,1,2,1,1,5,4,3,2,1,2,3,4,5,2,3,2,1,1,2,2,2,3,4,4,2,2
445,Male,city,10th grade,the first,more than 85,academic,academic,3,3,3,4,3,4,2,3,5,2,2,2,4,2,1,1,2,5,1,1,4,2,4,2,1,2,3,2,3,4,2,4,2,5,5,4,5,2,5,3,5,5,4,4,4,3,5,2,5,5,4,5,4,2,4,2,4,3,5,1,4,4,4,5,5,5,5,3,4,2,1,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,2,2,2,1,1,1,3,2
446,Male,Camp,10th grade,the middle,75-84,Secondary grade,Secondary grade,3,5,5,3,4,1,1,3,4,1,2,2,5,3,4,5,5,3,1,3,1,1,1,5,3,1,4,5,5,1,1,4,1,1,5,5,5,4,4,1,3,3,5,3,5,1,3,1,5,1,5,3,5,1,5,1,1,2,5,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,1,4,1,4,5,5,3,4,1,1,3,2,1,1,1,4,5,2,1,3,1,1,1,1,1,1,3,5,1,1,1,1,3,1,1,1,1,1,1,1,3,3,5,3,5,1,1,1,1,1,1,1,1,3,2,3,2,3,5,3,1,1,3,4,3,1,1,1,3,1,1,1,1,1,3
447,Male,city,10th grade,the middle,75-84,Illiterate,academic,1,1,2,2,4,3,3,3,2,1,1,1,1,1,3,4,1,3,5,4,5,3,1,4,1,3,1,2,3,3,2,4,3,2,3,3,3,3,3,3,1,4,2,4,3,1,1,1,1,1,2,1,2,1,3,3,3,1,3,1,4,5,1,3,3,3,3,1,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3
448,Male,Camp,10th grade,the last,less than 60,Primary,Secondary grade,5,5,5,5,4,1,3,2,5,1,4,4,5,1,5,5,5,3,3,1,1,2,2,1,2,3,5,3,4,2,1,2,1,2,3,5,5,5,5,4,5,5,5,5,3,3,5,5,2,3,5,4,5,2,5,2,3,5,5,2,4,5,3,5,5,5,2,3,5,2,2,3,1,1,5,5,2,2,5,3,1,1,3,1,1,1,3,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
449,Male,city,10th grade,the middle,61-74,Illiterate,Primary,3,2,4,2,2,1,2,3,3,2,3,3,5,3,4,4,2,1,1,1,1,1,1,2,1,3,3,3,4,5,4,2,3,1,4,3,3,1,5,5,4,5,5,3,2,5,5,4,4,5,1,4,5,3,3,1,3,5,5,5,1,5,1,5,5,5,5,2,2,2,2,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,2,1,2,4,5,5,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1
450,Male,city,11th grade,the first,75-84,academic,academic,3,4,5,5,4,5,1,2,3,3,2,2,4,3,4,5,1,2,3,1,2,4,4,3,3,4,5,3,5,3,3,2,1,3,4,2,4,3,4,3,3,4,3,4,4,3,4,5,3,3,5,3,3,4,4,1,2,1,4,3,1,3,3,3,3,3,4,2,3,4,4,4,5,4,4,4,4,4,4,5,5,4,4,5,4,4,1,1,1,1,3,1,3,1,1,3,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
